Date,High,Low,Mid,Last,Bid,Ask,Volume
2017-01-12,1.4447,1.16,1.183,1.185,1.1741,1.1919,371933.58341769
2017-01-13,1.27,1.128,1.213,1.2105,1.2105,1.2155,270312.80383082
2017-01-14,1.2568,1.1666,1.2143,1.21,1.21,1.2186,93856.90684433
2017-01-15,1.245,1.1852,1.20165,1.1978,1.1955,1.2078,44023.60607087
2017-01-16,1.2063,1.15,1.18415,1.1896,1.1801,1.1882,99723.061332629
2017-01-17,1.2053,1.164,1.17645,1.1825,1.1724,1.1805,16868.62288389
2017-01-18,1.2349,1.1725,1.20725,1.2064,1.2064,1.2081,88476.41178838
2017-01-19,1.22,1.1431,1.20525,1.2061,1.2029,1.2076,91785.70117183
2017-01-20,1.2197,1.1603,1.1764,1.173,1.1738,1.179,56451.19596233
2017-01-21,1.3928,1.159,1.34395,1.345,1.342,1.3459,388401.33253912
2017-01-22,1.5499,1.341,1.41935,1.417,1.415,1.4237,390548.33442154
2017-01-23,1.48,1.3501,1.3813,1.38,1.38,1.3826,176770.25530131
2017-01-24,1.4,1.3664,1.38835,1.4,1.3858,1.3909,106398.10987104
2017-01-25,1.396,1.351,1.3552,1.3632,1.3517,1.3587,108044.82005072
2017-01-26,1.3753,1.2732,1.27585,1.2798,1.2735,1.2782,147915.01808817
2017-01-27,1.35,1.2759,1.329,1.3269,1.3269,1.3311,65641.13530375
2017-01-28,1.3441,1.275,1.2796,1.278,1.278,1.2812,85655.33004791
2017-01-29,1.3099,1.2806,1.30475,1.3026,1.3026,1.3069,46870.4280198
2017-01-30,1.3079,1.288,1.29365,1.2904,1.2894,1.2979,15346.80057143
2017-01-31,1.34,1.2863,1.33955,1.34,1.3391,1.34,16527.46777646
2017-02-01,1.38,1.3301,1.3511,1.3543,1.3447,1.3575,88974.13893879
2017-02-02,1.3698,1.335,1.34065,1.3451,1.3369,1.3444,67300.11214457
2017-02-03,1.3679,1.333,1.3543,1.3616,1.3484,1.3602,36104.87883068
2017-02-04,1.3609,1.3187,1.34575,1.345,1.3455,1.346,63228.72414815
2017-02-05,1.381,1.345,1.37365,1.3726,1.3723,1.375,107273.52180346
2017-02-06,1.3723,1.3365,1.365,1.3633,1.3631,1.3669,39157.40687298
2017-02-07,1.48,1.364,1.44975,1.4501,1.4443,1.4552,227277.36167448
2017-02-08,1.508,1.4498,1.46225,1.46,1.46,1.4645,125849.33361863
2017-02-09,1.4839,1.3919,1.4326,1.4321,1.4285,1.4367,109303.77512968
2017-02-10,1.458,1.1401,1.25715,1.2528,1.2528,1.2615,801070.05198883
2017-02-11,1.2685,1.205,1.2594,1.2597,1.2567,1.2621,164830.15801961
2017-02-12,1.2878,1.2203,1.2273,1.2245,1.2245,1.2301,107463.92086769
2017-02-13,1.2336,1.2001,1.21695,1.2168,1.2169,1.217,77258.07334657
