Date,High,Low,Mid,Last,Bid,Ask,Volume
2018-07-09,490.72,472.42,476.625,476.62,476.62,476.63,106429.25592132
2018-07-10,478.92,426.84,438.08,438.12,438.06,438.1,250692.92563061
2018-07-11,447.12823584,424.69,441.095,441.09,441.09,441.1,120891.11290541
2018-07-12,445.75,422.11,424.895,424.8979105,424.89,424.9,123049.10982451
2018-07-13,442.3,417.8,430.805,430.81,430.8,430.81,117701.45815621
2018-07-14,439.86,427.82,432.585,432.59,432.58,432.59,74583.57364535
2018-07-15,455.22,431.19,449.615,449.61017697,449.61,449.62,81410.92604994
2018-07-16,481.0,445.13,476.375,476.37,476.37,476.38,191408.78222713
2018-07-17,511.67,465.14,499.225,499.36,499.22,499.23,200841.2736175
2018-07-18,515.28,469.17,479.945,479.95,479.94,479.95,191456.11299206
2018-07-19,484.36,462.64,471.355,471.36,471.35,471.36,139773.26917679
2018-07-20,470.87,439.52,449.035,449.04,449.03,449.04,166411.23264294
2018-07-21,468.9,441.37,464.235,464.2,464.23,464.24,102377.52819274
2018-07-22,471.88,455.0,458.185,458.18,458.18,458.19,64155.86491638
2018-07-23,470.6,447.1,451.335,451.34,451.33,451.34,151844.91321489
2018-07-24,484.52,446.0,477.685,477.69,477.68,477.69,162232.64652176
2018-07-25,485.28,464.277554,476.345,476.35,476.34,476.35,100207.824886
2018-07-26,484.87,462.45,464.055,464.06,464.05,464.06,79855.33415101
2018-07-27,474.63,456.26,471.515,471.52,471.51,471.52,115432.05753829
2018-07-28,473.21,461.34,467.975,467.97,467.97,467.98,47167.18984888
2018-07-29,472.6,461.39300307,464.765,464.77,464.76,464.77,38864.39011886
2018-07-30,470.07,446.67,455.635,455.63,455.63,455.64,134834.50966344
2018-07-31,458.33,427.4,431.935,431.93,431.93,431.94,142458.49604024
2018-08-01,437.21,407.75,418.845,418.65,418.84,418.85,186193.2898472
2018-08-02,424.68,407.51,411.885,411.68,411.88,411.89,80788.2464131
2018-08-03,420.0,397.84,418.035,418.04,418.03,418.04,146725.95258486
2018-08-04,419.0,400.82,406.185,406.19,406.18,406.19,108769.76434148
2018-08-05,413.65,399.0,410.295,410.27,410.29,410.3,89009.85625091
2018-08-06,413.98,401.0,401.815,401.82,401.81,401.82,42346.18319298
2018-08-07,410.73,368.0,380.28,380.2,380.24,380.32,182183.86816998
2018-08-08,380.61,346.35,352.795,352.79,352.79,352.8,308524.51414685
2018-08-09,370.39,350.18,369.69,369.59,369.68,369.7,131517.86742949
2018-08-10,369.2,326.01,328.865,328.86,328.76,328.97,168759.18234398
2018-08-11,333.77,305.0,325.825,325.82,325.82,325.83,253103.29442287
2018-08-13,323.54631226,280.8,284.005,284.0,284.0,284.01,319597.76275033
2018-08-14,285.44,249.93,267.785,267.92,267.76,267.81,415369.14921419
2018-08-15,304.99,265.22,288.615,288.61,288.61,288.62,392697.86923382
2018-08-16,299.01,277.0,287.615,287.61,287.61,287.62,215461.64666065
2018-08-17,319.26,283.56,315.355,315.35,315.35,315.36,288063.78890978
2018-08-18,321.1,282.0,295.705,295.71,295.7,295.71,217303.50230548
2018-08-19,306.45,288.06,300.805,300.8,300.8,300.81,157157.51111677
2018-08-20,304.09,269.96,272.785,272.76,272.78,272.79,185622.55051716
2018-08-21,286.24130279,268.88,280.28,280.28,280.27,280.29,170215.08211061
2018-08-22,299.65,259.2,268.835,268.83,268.83,268.84,327127.76386474
2018-08-23,280.89,267.63133352,275.23,275.28,275.18,275.28,159454.27749067
2018-08-24,283.16,269.18,280.995,281.05,280.99,281.0,107448.36217389
2018-08-25,284.21,276.73,278.875,278.87,278.87,278.88,71084.35707244
2018-08-26,280.63,269.32,273.045,273.04,273.04,273.05,123744.9531698
2018-08-27,280.19,271.39,278.505,278.51,278.5,278.51,124052.82735976
2018-08-28,296.55,280.43,295.475,295.5,295.45,295.5,208241.40976459
2018-08-29,298.13,284.34,290.415,290.40585954,290.41,290.42,148876.49021082
2018-08-30,291.01,272.45,283.325,283.32,283.32,283.33,219064.764344
2018-08-31,285.02,276.4,281.985,281.93730131,281.98,281.99,143164.44303176
2018-09-01,302.7,281.08,296.515,296.52,296.51,296.52,202499.23460775
2018-09-02,300.43,289.39,293.155,293.13,293.13,293.18,128727.23862564
2018-09-03,296.5,285.75,290.015,289.74,290.0,290.03,124327.15851377
2018-09-04,293.04,280.84804205,285.46,285.44,285.44,285.48,173232.27454644
2018-09-05,287.97,238.14,241.655,241.66,241.65,241.66,540292.74447185
2018-09-06,243.04242726,211.19,226.035,226.04,226.03,226.04,570561.70653404
2018-09-07,234.56,213.16,217.375,217.37,217.37,217.38,308042.40309142
2018-09-08,220.57,190.0,195.37,195.29,195.35,195.39,366423.60216246
2018-09-09,208.37,185.12,194.985,195.05,194.98,194.99,421044.26851332
2018-09-10,202.77,186.9,195.555,195.58,195.54,195.57,353102.74150068
2018-09-11,199.87,175.89,185.14,185.05,185.13,185.15,468994.58943248
2018-09-12,185.56,167.32111027,181.945,181.95,181.94,181.95,739050.58835454
2018-09-13,212.0,181.34,209.655,209.66,209.65,209.66,822479.13602386
2018-09-14,224.21,202.95,216.605,216.64,216.6,216.61,844129.88357293
2018-09-15,228.08,207.87,222.825,222.83,222.82,222.83,474104.81862394
2018-09-16,223.7,203.0,219.525,219.6,219.52,219.53,371327.23501206
2018-09-17,226.77,192.5,196.305,196.31,196.3,196.31,948080.15002992
2018-09-18,222.0,193.88,211.025,210.98,211.02,211.03,610725.08463055
2018-09-19,215.83,196.0,208.895,208.92,208.86,208.93,632163.15550681
2018-09-20,218.56,207.0,216.895,216.89,216.89,216.9,311142.06038249
2018-09-21,252.0,221.23,247.825,247.82,247.82,247.83,810271.40103497
2018-09-22,255.0,232.98,239.635,239.63,239.63,239.64,349873.40490013
2018-09-23,249.68957972,236.95,243.94,243.89,243.92,243.96,241717.1441958
2018-09-24,245.9,227.0,229.055,229.05,229.05,229.06,382025.18676169
2018-09-25,228.53,202.32,215.445,215.44,215.44,215.45,697527.54821744
2018-09-26,223.0,207.31,215.455,215.45,215.45,215.46,424147.50496574
2018-09-27,235.2,209.96,228.235,228.27,228.19,228.28,368636.69127856
2018-09-28,234.19,214.68,221.435,221.44,221.43,221.44,492920.30399882
2018-09-30,239.46,226.0,234.025,233.99,234.0,234.05,342413.76192388
2018-10-01,235.75,224.0,231.305,231.32,231.3,231.31,184097.39803225
2018-10-02,232.4,223.01,227.645,227.65,227.64,227.65,132859.39439497
2018-10-03,227.6,214.0,218.865,218.86213064,218.86,218.87,265797.4409728
2018-10-04,227.9,218.13,222.995,222.99,222.99,223.0,193953.52516863
2018-10-05,233.48,219.34414341,227.755,227.49,227.75,227.76,197412.62312441
2018-10-06,230.0,222.6,224.935,224.94,224.93,224.94,110745.7399833
2018-10-07,226.61,220.49,224.605,224.6,224.6,224.61,87549.43308773
2018-10-08,234.9,224.2,230.315,230.31,230.31,230.32,259852.34014062
2018-10-09,231.66566139,226.71207327,229.045,229.04,229.04,229.05,109763.10506317
2018-10-10,229.21,223.3,226.21,226.25,226.17,226.25,151797.44552317
2018-10-11,226.98,195.42,198.79,199.01,198.78,198.8,587888.43890331
2018-10-12,201.82,188.35,197.275,197.26,197.27,197.28,359466.00074497
2018-10-13,203.0,196.56,201.425,201.42934686,201.42,201.43,136512.74187149
2018-10-14,203.7,197.59,200.235,200.23909528,200.23,200.24,135102.99245677
2018-10-15,242.62,194.01,213.79,213.8,213.77,213.81,986155.35946666
2018-10-16,219.43,211.39,212.875,212.88,212.87,212.88,138476.91869435
2018-10-17,217.07,209.66,213.675,213.67,213.67,213.68,111803.30521602
2018-10-18,215.0,203.53,204.955,204.98,204.93,204.98,180680.34866819
2018-10-20,209.98,203.58,208.705,208.7,208.7,208.71,91698.50625352
2018-10-21,212.0,207.36,207.735,207.73,207.73,207.74,72658.96919427
2018-10-22,208.86,205.0112582,206.455,206.45,206.45,206.46,88375.39826346
2018-10-24,208.0,205.05,205.525,205.53,205.52,205.53,80440.61429058
2018-10-25,205.79,202.9,204.865,204.87,204.86,204.87,65717.11715902
2018-10-26,210.5,202.8,205.005,205.0,205.0,205.01,159236.30229333
2018-10-27,205.89,203.06,204.205,204.31,204.2,204.21,38150.01397992
2018-10-29,205.61,195.16,196.865,196.86,196.86,196.87,176954.05159727
2018-10-30,199.0,195.89,197.395,197.4,197.39,197.4,71964.41787136
2018-10-31,201.89,193.04,198.955,198.96,198.95,198.96,131304.27872663
2018-11-01,200.99,198.04701916,199.615,199.61199894,199.61,199.62,48367.03094985
2018-11-02,204.29,199.53,202.675,202.67,202.67,202.68,102717.88471066
2018-11-03,202.63,196.5,200.225,200.22,200.22,200.23,57218.17765819
2018-11-04,218.92,198.86,211.425,211.43,211.42,211.43,237917.52133948
2018-11-05,213.83848092,207.83,209.945,209.95,209.94,209.95,110070.2189174
2018-11-06,221.42,209.18,220.13,220.1,220.11,220.15,196905.88897547
2018-11-07,225.12,217.28,218.945,218.95,218.94,218.95,238663.62580773
2018-11-08,220.76,212.82,213.125,213.12,213.12,213.13,104531.79267442
2018-11-09,215.48,209.05,211.215,211.21,211.21,211.22,76226.56075598
2018-11-10,217.45,210.52,212.895,212.9,212.89,212.9,65907.25988977
2018-11-11,213.7,206.28,213.045,213.08273691,213.04,213.05,87344.22046219
2018-11-12,215.0,210.58,212.405,212.41,212.4,212.41,92112.5793353
2018-11-14,211.4,175.01,185.695,185.7,185.69,185.7,854771.66914551
2018-11-15,190.0,171.36,183.36,183.31,183.32,183.4,532181.33378321
2018-11-16,185.17,171.83,176.935,176.94,176.93,176.94,300577.76701861
2018-11-17,177.79,174.02,175.905,175.91,175.9,175.91,98870.41848513
2018-11-18,182.99,175.89,178.215,178.23,178.2,178.23,149973.46773717
2018-11-19,178.99,147.22,152.685,152.58,152.68,152.69,925650.5225861
2018-11-20,154.89,127.0,132.495,132.48,132.48,132.51,1494547.2912868
2018-11-21,141.91,126.2,139.255,139.26,139.25,139.26,831081.1353533
2018-11-22,140.46,126.81,128.845,128.84,128.84,128.85,336415.22595971
2018-11-23,129.05,119.52,125.235,125.23,125.23,125.24,674701.13938038
2018-11-24,130.5,111.15,116.16,116.17,116.13,116.19,573979.94650274
2018-11-25,123.51,102.96,119.125,119.12,119.12,119.13,1176545.3155804
2018-11-27,115.0,102.2,111.555,111.55,111.55,111.56,606871.37089089
2018-11-28,127.87,111.72,123.935,123.93546231,123.93,123.94,682512.63807258
2018-11-29,125.17,115.1,118.245,118.24,118.24,118.25,464879.87752856
2018-11-30,121.12,111.41,113.7,113.73,113.69,113.71,477936.01415649
2018-12-01,123.1,111.52,120.015,120.02,120.01,120.02,360289.17238649
2018-12-02,122.38,116.23103618,116.915,116.92,116.91,116.92,182949.95720148
2018-12-03,117.53,106.87,108.965,108.97,108.96,108.97,319721.88880846
2018-12-04,115.48,106.2,110.305,110.41,110.3,110.31,301987.80040256
2018-12-05,111.27,102.0,102.755,102.76,102.75,102.76,360800.62902326
2018-12-06,105.67,91.28,91.37,91.268,91.35,91.39,737067.40053358
2018-12-07,99.085,83.0,93.8975,93.897,93.895,93.9,1202749.7985737
2018-12-08,100.5,85.641,93.8295,93.829,93.829,93.83,575813.9748493
2018-12-09,102.5,90.693,96.387,96.481,96.38,96.394,435453.15284686
